Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Summer Cartoon Pocket Handheld Stand Fan Rechargeable Silent Mini Fan","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0604717001A.jpg","Smartphones","","1. Noise: 36dB or less 2. Rated voltage: 5V/1A 3. Rated power: 5W 4. Wind speed: 3 speeds 5. Duration: 1-3h 6. Charging interface: Micro 7. Battery...","https://luxtronics.in/product/smartphones-summer-cartoon-pocket-handheld-stand-61411","","summer cartoon pocket handheld stand fan rechargeable silent mini fan, tbd06047170, smartphones, luxtronics, online shopping"
"Desktop Portable USB Mini Clip Fan","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TGCY027F.jpg","Smart Home","","1. Material: ABS+electronic components 2. Wind speed: 3 gears 3. Power: 3-7V 4. Charging input: DC5V/1A 5. Rotate 360 degrees at will and can be used at...","https://luxtronics.in/product/smart-home-desktop-portable-usb-mini-clip-61078","","desktop portable usb mini clip fan, tgcy027, smart home, smart-home, luxtronics, online shopping"
"Cartoon Game Console Shape USB Charging Portable Bladeless Halter Fan","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0604590901A.jpg","Gaming","","Features: 1. Cartoon game console design, interesting, cute and practical 2. Smooth surface, smooth and no sharp angles throughout the body 3. Three...","https://luxtronics.in/product/gaming-cartoon-game-console-shape-usb-61094","","cartoon game console shape usb charging portable bladeless halter fan, tbd06045909, gaming, luxtronics, online shopping"
"CF-516 USB Home Timed Desktop RGB Light Adjustable Spray Humidification","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0604596701A.jpg","Smartphones","","Features: 1. High and low cool wind/natural wind modes are optional, with wide-angle air supply and silent air supply; 2. Three wind speeds, adjustable at...","https://luxtronics.in/product/smartphones-cf-516-usb-home-timed-61117","","cf-516 usb home timed desktop rgb light adjustable spray humidification, tbd06045967, smartphones, luxtronics, online shopping"
"F11 Portable USB Charging Rotating Digital Display Bladeless Hanging","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0604597701B.jpg","Chargers and Cables","","Features: 1. 360-degree surrounding wind, cooling the whole body in 3 seconds 2. Five-speed wind adjustment, enjoy air-conditioning-level cool breeze 3....","https://luxtronics.in/product/chargers-cables-f11-portable-usb-charging-rotating-61132","","f11 portable usb charging rotating digital display bladeless hanging, tbd06045977, chargers & cables, chargers-cables, luxtronics, online shopping"
"CF-009 USB Touch Spray Humidification Air Conditioning Fan Desktop","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0604598401A.jpg","Chargers and Cables","","Features: 1. 4-in-1 portable multi-functional cooling fan, using the latest nano-nozzle ultrasonic atomization technology. 2. With 3 levels of spray...","https://luxtronics.in/product/chargers-cables-cf-009-usb-touch-spray-61147","","cf-009 usb touch spray humidification air conditioning fan desktop, tbd06045984, chargers & cables, chargers-cables, luxtronics, online shopping"
"Desktop Air Circulation Fan Household Office Compact Mute Electrical","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0604624901.jpg","Audio","","1. DC brushless motor, running sound is small, strong power more stable and durable 2. Unique air duct design, rapid cooling, accelerate indoor air flow...","https://luxtronics.in/product/audio-desktop-air-circulation-fan-household-61160","","desktop air circulation fan household office compact mute electrical, tbd06046249, audio, luxtronics, online shopping"
"Mini Office Desktop Silent Electrical Fan Desktop Outdoor USB Retro Fan","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0604637501A.jpg","Audio","","1. Material: ABS+PP+electronic components 2. Wind speed gear: 2 gears 3. Charging time: 2 hours 4. Continuity time: 1-1.5 hours 5. Battery capacity:...","https://luxtronics.in/product/audio-mini-office-desktop-silent-electrical-61176","","mini office desktop silent electrical fan desktop outdoor usb retro fan, tbd06046375, audio, luxtronics, online shopping"
"USB Rechargeable Handheld Misting Fan Portable Hydration Electrical Fan","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0604646501A.jpg","Chargers and Cables","","1. Material: plastic + electronic components 2. Noise: 36-45dB 3. Battery capacity: 500mAh 4. Charging time: 1-3 hours 5. Wind speed mode: four wind...","https://luxtronics.in/product/chargers-cables-usb-rechargeable-handheld-misting-fan-61217","","usb rechargeable handheld misting fan portable hydration electrical fan, tbd06046465, chargers & cables, chargers-cables, luxtronics, online shopping"
"USB Charging Digital Display Handheld Turbo Fan Portable Foldable","https://luxtronics.luxtronics.in/wp-content/uploads/2026/05/TBD0604659701A.jpg","Chargers and Cables","","1. Material: ABS + electronic components 2. Product power: 5W 3. Rated voltage: 5V 4. Rated frequency: 50Hz 5. Wind speed: 5 speeds 6. Battery capacity:...","https://luxtronics.in/product/chargers-cables-usb-charging-digital-display-handheld-61250","","usb charging digital display handheld turbo fan portable foldable, tbd06046597, chargers & cables, chargers-cables, luxtronics, online shopping"
